symbol,exit_reason,count,pct_of_trades,win_rate_pct,avg_pnl_pct_net
BTC/USDT,SIGNAL_FLIP,34,65.4,20.59,-0.8109117647058824
BTC/USDT,STOP_LOSS,11,21.2,0.0,-2.816090909090909
BTC/USDT,TAKE_PROFIT,7,13.5,100.0,4.090428571428571
ETH/USDT,SIGNAL_FLIP,34,69.4,23.53,-0.901264705882353
ETH/USDT,STOP_LOSS,8,16.3,0.0,-4.400875
ETH/USDT,TAKE_PROFIT,7,14.3,100.0,6.2788571428571425
SOL/USDT,SIGNAL_FLIP,36,76.6,41.67,-0.6339166666666666
SOL/USDT,STOP_LOSS,7,14.9,0.0,-4.664571428571429
SOL/USDT,TAKE_PROFIT,4,8.5,100.0,8.05425
BNB/USDT,SIGNAL_FLIP,31,79.5,35.48,-0.3026451612903226
BNB/USDT,STOP_LOSS,5,12.8,0.0,-2.6654
BNB/USDT,TAKE_PROFIT,3,7.7,100.0,7.008
XRP/USDT,SIGNAL_FLIP,36,66.7,33.33,-0.4995277777777778
XRP/USDT,STOP_LOSS,12,22.2,0.0,-3.231666666666667
XRP/USDT,TAKE_PROFIT,6,11.1,100.0,4.741
